,rmse,trial_index,arm_name,vcmax_np1,trial_status,generation_method
0,2.20904e-05,0,0_0,4.012932538986206,COMPLETED,Sobol
3,8.805500000000001e-05,1,1_0,5.731330364942551,COMPLETED,Sobol
15,8.96068e-05,2,2_0,5.963042262941599,COMPLETED,Sobol
27,2.06432e-05,3,3_0,2.937890339642763,COMPLETED,Sobol
39,7.21099e-05,4,4_0,4.99961905553937,COMPLETED,Sobol
51,1.0796600000000001e-05,5,5_0,3.508392140761802,COMPLETED,GPEI
56,3.13276e-05,6,6_0,2.0,COMPLETED,GPEI
57,1.17626e-05,7,7_0,3.385195970225852,COMPLETED,GPEI
58,1.20539e-05,8,8_0,3.63407126226233,COMPLETED,GPEI
59,2.87192e-05,9,9_0,2.494213543037318,COMPLETED,GPEI
1,2.06434e-05,10,10_0,2.9378824594021604,COMPLETED,GPEI
2,2.3155400000000002e-05,11,11_0,4.0402878679004814,COMPLETED,GPEI
4,2.08583e-05,12,12_0,2.9312584793367433,COMPLETED,GPEI
5,2.6029e-05,13,13_0,4.110334724187851,COMPLETED,GPEI
6,2.09608e-05,14,14_0,2.891513472101865,COMPLETED,GPEI
7,1.1313e-05,15,15_0,3.5626487673871825,COMPLETED,GPEI
8,1.13965e-05,16,16_0,3.482220637249563,COMPLETED,GPEI
9,1.12367e-05,17,17_0,3.490788205451318,COMPLETED,GPEI
10,1.14637e-05,18,18_0,3.4744702363062014,COMPLETED,GPEI
11,1.11425e-05,19,19_0,3.4861861412970567,COMPLETED,GPEI
12,1.0865e-05,20,20_0,3.496275258064215,COMPLETED,GPEI
13,1.12495e-05,21,21_0,3.469574537997616,COMPLETED,GPEI
14,1.1377000000000001e-05,22,22_0,3.480299505343851,COMPLETED,GPEI
16,1.07952e-05,23,23_0,3.508919021251105,COMPLETED,GPEI
17,1.1277e-05,24,24_0,3.477674419697979,COMPLETED,GPEI
18,1.17646e-05,25,25_0,3.385932521592764,COMPLETED,GPEI
19,1.5554800000000002e-05,26,26_0,3.1976947994454905,COMPLETED,GPEI
20,1.44049e-05,27,27_0,3.7713554348377576,COMPLETED,GPEI
21,2.48113e-05,28,28_0,2.690700646745597,COMPLETED,GPEI
22,3.1046e-05,29,29_0,2.2474249718096986,COMPLETED,GPEI
23,4.25299e-05,30,30_0,4.445240119347387,COMPLETED,GPEI
24,1.70207e-05,31,31_0,3.1221152851400626,COMPLETED,GPEI
25,5.05158e-05,32,32_0,4.590470926410608,COMPLETED,GPEI
26,1.59321e-05,33,33_0,3.8315234463177443,COMPLETED,GPEI
28,3.64547e-05,34,34_0,4.339724427970829,COMPLETED,GPEI
29,8.357920000000001e-05,35,35_0,5.352284834681989,COMPLETED,GPEI
30,3.0350100000000003e-05,36,36_0,2.331133569568014,COMPLETED,GPEI
31,1.44303e-05,37,37_0,3.2878675337622836,COMPLETED,GPEI
32,1.17146e-05,38,38_0,3.6008756732161284,COMPLETED,GPEI
33,1.12468e-05,39,39_0,3.43423750927221,COMPLETED,GPEI
34,1.78929e-05,40,40_0,3.8953846343978986,COMPLETED,GPEI
35,1.2735900000000001e-05,41,41_0,3.6886762109075715,COMPLETED,GPEI
36,1.45812e-05,42,42_0,3.244060201016152,COMPLETED,GPEI
37,1.39577e-05,43,43_0,3.330351985245046,COMPLETED,GPEI
38,1.84707e-05,44,44_0,3.0513827216415876,COMPLETED,GPEI
40,2.25045e-05,45,45_0,2.8066067343033287,COMPLETED,GPEI
41,2.65088e-05,46,46_0,2.6086262411609322,COMPLETED,GPEI
42,1.59267e-05,47,47_0,3.160114447951756,COMPLETED,GPEI
43,1.95935e-05,48,48_0,3.9484190382374935,COMPLETED,GPEI
44,1.3427400000000001e-05,49,49_0,3.7280144752129294,COMPLETED,GPEI
45,2.97759e-05,50,50_0,2.4157952733539854,COMPLETED,GPEI
46,2.97436e-05,51,51_0,4.196986233134236,COMPLETED,GPEI
47,3.12557e-05,52,52_0,2.120144851584301,COMPLETED,GPEI
48,1.905e-05,53,53_0,3.0013339467591384,COMPLETED,GPEI
49,1.23408e-05,54,54_0,3.663406724983224,COMPLETED,GPEI
50,6.0879500000000006e-05,55,55_0,4.783319317835186,COMPLETED,GPEI
52,8.6261e-05,56,56_0,5.540559164208824,COMPLETED,GPEI
53,2.36878e-05,57,57_0,2.750124799684801,COMPLETED,GPEI
54,1.15666e-05,58,58_0,3.4515694612925225,COMPLETED,GPEI
55,1.14555e-05,59,59_0,5.172061301464176,COMPLETED,GPEI
